card_id,title,branch,decision_tier,watch_label,composite_score,assets_mentioned,expected_events,outcome_result,time_to_outcome_min,half_life_min,half_life_remaining_min,outcome_type_match,matched_event,outcome_detail
0ed1115c-939f-40c0-8ab5-a5efe20da2ee,"Chain-D1 beta reversion: (HYPE,BTC) break, no flow evidence",beta_reversion,actionable_watch,beta_reversion_watch,0.7725,HYPE|BTC,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['BTC', 'HYPE'] in outcome window [min 30, min 60]."
229310c3-243e-496b-8b80-b891978db796,"Chain-D1 beta reversion: (HYPE,ETH) break, no flow evidence",beta_reversion,monitor_borderline,beta_reversion_watch,0.6169,HYPE|ETH,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['ETH', 'HYPE'] in outcome window [min 30, min 60]."
3328ef11-af21-433b-a07d-b996ea748815,"Chain-D1 beta reversion: (HYPE,SOL) break, no flow evidence",beta_reversion,monitor_borderline,beta_reversion_watch,0.6169,HYPE|SOL,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['HYPE', 'SOL'] in outcome window [min 30, min 60]."
cd532fbd-74d4-4150-96c7-8cb7c29af4ea,"Chain-D1 beta reversion: (BTC,ETH) break, no flow evidence",beta_reversion,monitor_borderline,beta_reversion_watch,0.6169,ETH|BTC,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['BTC', 'ETH'] in outcome window [min 30, min 60]."
11219cf7-fea5-436d-bc81-5556b0be22ba,"Chain-D1 beta reversion: (BTC,SOL) break, no flow evidence",beta_reversion,monitor_borderline,beta_reversion_watch,0.6169,BTC|SOL,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['BTC', 'SOL'] in outcome window [min 30, min 60]."
62af26f2-b9de-4a4b-91e2-32c97c113e9a,"Chain-D1 beta reversion: (ETH,SOL) break, no flow evidence",beta_reversion,monitor_borderline,beta_reversion_watch,0.6169,ETH|SOL,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['ETH', 'SOL'] in outcome window [min 30, min 60]."
e78b3551-f894-46cc-b052-d83822c05ff6,"Chain-D1 beta reversion: (HYPE,BTC) break, no flow evidence",beta_reversion,monitor_borderline,beta_reversion_watch,0.6068,HYPE|BTC,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['BTC', 'HYPE'] in outcome window [min 30, min 60]."
b2e456bd-83ae-4565-ac9e-55fdc005382a,"Chain-D1 beta reversion: (HYPE,ETH) break, no flow evidence",beta_reversion,baseline_like,monitor_no_action,0.5846,HYPE|ETH,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['ETH', 'HYPE'] in outcome window [min 30, min 60]."
47310959-dfa7-4ec1-84aa-d50d886b0635,"Chain-D1 beta reversion: (HYPE,SOL) break, no flow evidence",beta_reversion,baseline_like,monitor_no_action,0.5846,HYPE|SOL,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['HYPE', 'SOL'] in outcome window [min 30, min 60]."
2410448b-19de-4fca-a6dd-4b1979e255da,"Chain-D1 beta reversion: (BTC,ETH) break, no flow evidence",beta_reversion,baseline_like,monitor_no_action,0.5846,ETH|BTC,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['BTC', 'ETH'] in outcome window [min 30, min 60]."
